49153	573824
49155	1203985
65542	1726356
49160	846057
65544	372508
49164	761341
49165	1753981
49168	486139
49171	5794868
49172	1234238
49174	695287
65565	395839
57375	754318
49185	1307157
65571	139375
57379	1164183
49187	1550072
57386	-1
57387	1161786
49196	557278
57389	7286677
57390	7409054
49199	1557367
57392	90610
57394	1426975
57395	-1
57396	1406151
49205	1898860
65590	998606
57399	309446
65595	1192097
65594	50545
57407	217567
49216	1652114
57409	-1
49222	938019
65607	905156
65608	281862
49226	1775959
65611	-1
65610	1133621
49228	1332575
49234	1473076
57430	282455
65629	1490463
65628	88034
57438	315230
65631	952591
49247	1456760
57440	743231
57453	61525
65646	1599645
65654	1661468
49275	1776297
49276	1073966
57468	1616713
65660	368058
49278	65409
57473	984790
65667	495476
57474	1353603
49285	1400888
49286	1342390
57480	159554
65672	586611
57481	-1
57482	-1
49290	823451
49297	1630946
57489	779587
57492	1075392
49302	634716
57495	1408429
49305	174753
49306	1356641
49307	544041
57502	5942362
65695	1225763
49314	1443023
49318	1029897
49320	1318123
57513	1436248
49322	1620464
57516	669702
57519	720080
65713	1526816
57521	412841
57523	527411
65719	1504044
49337	1832420
65723	369134
65722	460502
57531	1874828
65725	194369
65726	470725
49345	-1
49350	1800968
65736	1442761
65741	-1
65740	1128261
49361	629028
65746	-1
49366	1247108
57559	1380531
49367	143198
65753	1503664
65754	1407193
57566	759095
65759	7409744
57568	1413996
49377	547322
57571	150591
65765	1235637
49381	-1
49382	413589
65766	1087326
65769	977111
65768	-1
57578	149974
49386	603165
49387	655347
65775	1531163
57583	1241399
65777	657027
57587	1267088
65780	406200
49405	435190
57598	1740405
49408	1698068
57600	790154
65795	1007053
49413	746645
57606	5699531
65798	822785
49417	193830
57610	-1
49418	536409
49420	1142551
65809	784642
49426	5854550
65811	936541
49427	5614814
49428	7262968
57626	435464
57627	1850088
57628	980928
49437	-1
49439	1354167
65824	784697
57634	1812235
65826	1068492
49445	5984412
49446	1115472
57641	1601755
65832	1612309
65834	1710941
57644	638440
65839	261138
57646	988804
57653	1603799
57654	5951784
49465	26036
65851	1367162
49466	1693987
49467	1249491
49471	1446576
49475	158961
65858	1340910
49476	147898
65861	398970
49477	460810
65860	1388642
65863	817864
65862	1682860
65865	418740
57676	28319
65868	1703951
57677	1754990
65871	1244236
49486	-1
65870	-1
65873	5742089
65872	518510
65875	403458
65876	93853
57686	1318454
57687	1701524
49496	696812
49497	1560208
65883	469711
49499	1312983
57691	1066226
49502	952891
49503	1348349
65886	760327
57699	5792439
49508	6790186
57702	428182
49511	564564
65900	627150
49517	103998
57713	1432859
65907	1832035
65906	97275
57717	1439438
65908	1456710
65910	766315
49528	562703
57720	-1
65912	790240
57723	1838892
57724	195258
57725	609050
49534	489627
57726	875897
57727	1335929
49535	371029
57728	1314775
65921	1799619
57729	1136607
65923	635926
49539	1318745
65925	1299982
57734	475018
49544	1614867
49545	953349
57738	444370
49546	854157
65931	1609759
49547	738456
49548	889020
49550	1133923
57742	511864
57743	558506
65943	1159701
65942	1818682
65944	1367020
65946	927002
49569	428136
65955	-1
65954	1323284
65957	399297
57766	146951
65958	1535893
49578	103519
49579	1555656
49581	978310
57774	1302430
65967	1164528
57776	1350205
49584	6790548
57777	1604017
49585	1566957
65971	1243196
57778	1489713
57779	466725
49590	814620
57786	429583
49595	220056
49597	1558689
49599	312787
57793	1468589
65984	1416777
57796	-1
49609	1688365
57802	1597585
49612	1890378
49613	265342
65999	1446351
49617	433584
49618	1819636
66002	768806
49619	1318261
66005	553971
49620	1854205
66004	1158960
57813	384935
49621	144870
66006	240487
49623	-1
57816	55263
49626	5952539
49627	-1
66012	187367
66015	620764
57824	697487
49633	1464245
57826	1799955
66019	66590
57829	1157883
66026	1846378
49648	464980
49651	202528
66034	439430
66036	1854203
57846	1820795
66040	296362
66044	1507172
66046	1084336
66049	1066362
66048	267015
49669	728758
66055	931674
57866	5928892
66063	155437
57870	760751
